L1-icache-load-misses,branch-loads,dTLB-store-misses,L1-dcache-load-misses,bus-cycles,branch-instructions,LLC-load-misses,cpu-cycles,cache-references,dTLB-load-misses,L1-dcache-stores,branch-misses,LLC-stores,iTLB-load-misses,branch-load-misses,LLC-loads,L1-dcache-loads,cache-misses,LLC-store-misses,instructions
480378,4472790,0,40324,35188599,3203860,2708,70323872,18060104,0,18124254,596028,475299,0,521571,475286,18126311,39104,2694,49383834
481671,4370140,1,39892,35219392,3206183,2857,70396376,18110197,1,18100933,594757,456073,1,505477,456060,18100936,38655,2860,49677655
474326,4376991,1,37587,35162439,3220861,3326,70381535,18118245,1,18136554,593824,462455,1,509703,462480,18136555,40225,3334,49709720
475917,4397145,3,38753,35156582,3197387,2978,70335120,18090116,3,18106804,592577,468816,3,511440,468772,18106804,38227,2978,49686118
478194,5020842,3,39435,35221616,3245463,3566,70319173,18102962,3,18090180,600611,525035,2,585773,524956,18090178,40837,3555,49649395
470233,5115210,3,38215,35218285,3230143,3163,70372722,18111109,3,18114572,598323,532676,2,595080,532401,18114573,39968,3179,49636358
477927,5125429,3,38316,35203398,3227104,2863,70254127,18089255,3,18130398,597816,531895,0,595200,531838,18130399,39994,2844,49535519
476428,5124714,5,38864,35205369,3221857,3290,70286249,18134606,5,18089975,597772,533609,0,595721,534039,18089975,40253,3302,49711431
479109,4517888,3,39669,35204940,3239142,3644,70282401,18069503,3,18115151,601044,483898,0,525640,483677,18115151,40965,3639,49483461
473997,4322126,1,38190,35180575,3221923,2675,70318432,18099323,1,18105590,597821,430831,0,499570,431049,18105589,40153,2682,49638808
469794,4996788,1,38025,35209800,3213545,3210,70322217,18092187,1,18135547,597239,521974,2,581842,521999,18135548,39192,3199,49529936
477274,5117261,3,38656,35207190,3216174,3171,70261519,18067434,3,18118387,595911,530602,2,595563,530022,18118386,40381,3190,49445321
473536,5129461,11,38052,35176235,3236308,2869,70335714,18096793,11,18132187,596872,532919,4,600212,533465,18132186,41106,2856,49490978
480379,5095387,3,39611,35199613,3213516,3453,70397653,18111338,3,18067253,595666,524405,1,592300,524406,18067256,39199,3461,49680049
475233,4516929,5,38129,35183804,3180195,3394,70309204,18055741,5,18113614,590575,471124,3,523526,471044,18113612,49300,3401,49494142
491531,4382920,1,48391,35222174,3227713,2930,70309791,18138242,1,17716343,598984,461476,1,510021,461591,17716344,40642,2916,49768796
475550,4410494,1,39784,35166373,3224043,2728,70269203,18104696,1,18089839,597104,473036,1,513214,472654,18089839,39814,2732,49675013
476199,4380252,3,38660,35154475,3222994,2841,70285111,18071022,3,18089481,598573,462923,2,508131,463279,18089482,39463,2837,49433496
471892,4949875,3,37453,35179930,3214185,3482,70307068,18099861,3,18147515,597296,518673,2,574949,518674,18147513,39783,3478,49621147
473681,5095947,4,39266,35167036,3202822,3741,70284943,18113691,4,18066926,593737,530069,1,591653,530044,18066927,39450,3739,49731711
